URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/questionnaire-answers-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.448",QuestionnaireResponseStatus,QuestionnaireResponseStatus,"Lifecycle status of the questionnaire response.","ValueSet/questionnaire-answers-status"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/CodigosEnfPreviaVS,ValueSet/ComplicacionEmbarazoOtrosVS"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/EsaviOtroVS,ValueSet/CodigosEnfPreviaVS,ValueSet/CodigoMedicamentoVS,ValueSet/ComplicacionEmbarazoOtrosVS,ValueSet/FormaFarmaceuticaVS,ValueSet/ViaAdminMedicamentoVS,ValueSet/questionnaire-answers,ValueSet/CodeNoWhoVacunaVS"
http://terminology.hl7.org/CodeSystem/v2-0203,3.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceCS,0.1.44,active,,ClasificacionDesenlaceCS,Outcomes After ESAVI,"Classification of Outcome After Suffering ESAVI","ValueSet/ClasificacionDesenlaceVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceNaranjoCS,0.1.44,active,,ClasificacionDesenlaceNaranjoCS,Naranjo Causality Classification,"Naranjo causality classification method","ValueSet/ClasificacionDesenlaceNaranjoVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceWHOAEFICS,0.1.44,active,,ClasificacionDesenlaceWHOAEFICS,WHO-AEFI causality classification,"WHO-AEFI causality classification method","ValueSet/ClasificacionDesenlaceWHOAEFIVS"
https://paho.org/fhir/esavi/CodeSystem/ClasificacionDesenlaceWHOUMCCS,0.1.44,active,,ClasificacionDesenlaceWHOUMCCS,WHO-UMC Causality Classification,"WHO-UMC causality classification method","ValueSet/ClassificacionDesenlaceWHOUMCVS"
https://paho.org/fhir/esavi/CodeSystem/CodeWhoManufacturerCS,0.1.44,active,,CodigoWhoFabricanteCS,Vaccine Manufacturer,"WHO Vaccine Manufacturer Codes","ValueSet/CodigoWhoFAbricanteVS"
https://paho.org/fhir/esavi/CodeSystem/ComplicacionEmbarazoCS,0.1.44,active,,ComplicacionEmbarazoCS,Pregnancy Complications,"Codes for Pregnancy Complications","ValueSet/ComplicacionEmbarazoVS"
https://paho.org/fhir/esavi/CodeSystem/DirOrgNotiCS,0.1.44,active,,DirOrgNotiCS,PAHO Codes for Addresses,"Address Codes according to PAHO","ValueSet/DirOrgNotiVS"
https://paho.org/fhir/esavi/CodeSystem/ModoConfirmacionInfeccionCS,0.1.44,active,,ModoConfirmacionInfeccionCS,Infection Confirmation Mode,"Modes of Confirmation of COVID-19 Infection","ValueSet/ModoConfirmacionInfeccionVS"
https://paho.org/fhir/esavi/CodeSystem/ModoVerificacionVacunaCS,0.1.44,active,,ModoVerificacionVacunaCS,Prior Vaccination Verification Mode,"Vaccine Verification Modes or Completed Vaccination Schedule","ValueSet/ModoVerificacionVacunaVS"
https://paho.org/fhir/esavi/CodeSystem/ProfesionalNotificadorCS,0.1.44,active,,ProfesionalNotificadorCS,Type of Notifying Professional,"ESAVI Notifier Type Codes for PAHO","ValueSet/ProfesionalNotificadorVS"
https://paho.org/fhir/esavi/CodeSystem/RespuestaSiNoNoSabeCS,0.1.44,active,,RespuestaSiNoNoSabeCS,Simple Answers,"Codes to capture simple yes/no/don't know responses","ValueSet/RespuestaSiNoNoSabeVS"
https://paho.org/fhir/esavi/CodeSystem/SistemaClasfCausalidadCS,0.1.44,active,,SistemaClasfCausalidadCS,Type of Causality Classification Method,"Codes for Types of Causality Classification Methods","ValueSet/SistemaClasfCausalidadVS"
https://paho.org/fhir/esavi/CodeSystem/SistemasDeCodificacionCS,0.1.44,active,,SistemasDeCodificacionCS,Coding Systems,"Coding Systems for Code Determination","ValueSet/SistemasDeCodificacionVS"
https://paho.org/fhir/esavi/CodeSystem/codCountriesCS,0.1.44,active,,CodPaisesCS,Country Codes,"Codes defined for the identification of countries according to ISO3166-3 standard","ValueSet/codCountries"
https://www.meddra.org,3.0.0,active,"2.16.840.1.113883.6.163",MedDRA,Medical Dictionary for Regulatory Activities,"MedDRA is a multilingual standardised international medical terminology which can be used for regulatory communication and evaluation of data pertaining to medicinal products for human use.  MedDRA is designed for use in the registration, documentation and safety monitoring of medicinal products through all phases of the development cycle (i.e., from clinical trials to post-marketing surveillance).#13;   MedDRA is structured as a five level hierarchy. System Organ Classes (SOCs) are the broadest terms (e.g., Cardiac disorders, Investigations). The lowest level of the terminology is the Lowest Level Term (LLT) level.","ValueSet/CodeMedDRAEnfPreviaVS,ValueSet/ComplicacionEmbarazoMedDRAVS,ValueSet/EsaviMedDRAVS"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
